,testetst_Image8_edited__Bioformats,testetst_Image8_edited__PredictorSimple,testetst_Image8_edited__PredictorNetwork,testetst_Image8_edited__PredictorSimpleAnnotation,testetst_Image8_edited__PredictorNetworkAnnotation
Images/0/Image/Pixelss/0/Pixels/SizeY = 280,True,True,True,True,True
Images/3/Image/ID = Image:0,False,False,False,False,True
Images/1/Image/ID = Image:0,False,True,True,True,True
Images/0/Image/Pixelss/0/Pixels/SizeC = 3,True,True,True,True,True
StructuredAnnotations/XMLAnnotations/7/XMLAnnotation/Value/OriginalMetadata/Value = BlackIsZero,True,False,False,False,False
StructuredAnnotations/XMLAnnotations/5/XMLAnnotation/ID = Annotation:5,True,False,False,False,False
Images/0/Image/Pixelss/0/Pixels/Channels/2/Channel/ID = Channel:0:2,True,True,True,True,True
Images/2/Image/Pixelss/0/Pixels/Channels/1/Channel/ID = Channel:0:1,False,False,False,True,True
StructuredAnnotations/XMLAnnotations/8/XMLAnnotation/ID = Annotation:8,True,False,False,False,False
StructuredAnnotations/XMLAnnotations/8/XMLAnnotation/Namespace = openmicroscopy.org/OriginalMetadata,True,False,False,False,False
StructuredAnnotations/XMLAnnotations/9/XMLAnnotation/Namespace = openmicroscopy.org/OriginalMetadata,True,False,False,False,False
Images/3/Image/Pixelss/0/Pixels/PhysicalSizeXUnit = µm,False,False,False,False,True
StructuredAnnotations/XMLAnnotations/4/XMLAnnotation/ID = Annotation:4,True,False,False,False,False
StructuredAnnotations/XMLAnnotations/13/XMLAnnotation/Namespace = openmicroscopy.org/OriginalMetadata,True,False,False,False,False
StructuredAnnotations/XMLAnnotations/2/XMLAnnotation/Value/OriginalMetadata/Value = Monochrome,True,False,False,False,False
Images/1/Image/Pixelss/0/Pixels/SizeT = 30,False,True,True,True,True
Images/2/Image/Pixelss/0/Pixels/PhysicalSizeX = 0.09922878199885109,False,False,False,True,True
StructuredAnnotations/XMLAnnotations/8/XMLAnnotation/Value/OriginalMetadata/Value = OME Bio-Formats 6.7.0,True,False,False,False,False
StructuredAnnotations/XMLAnnotations/6/XMLAnnotation/Value/OriginalMetadata/Key = ImageWidth,True,False,False,False,False
StructuredAnnotations/XMLAnnotations/0/XMLAnnotation/ID = Annotation:0,True,False,False,False,False
Images/3/Image/Pixelss/0/Pixels/SizeC = 3,False,False,False,False,True
Images/2/Image/Pixelss/0/Pixels/Channels/2/Channel/ID = Channel:0:2,False,False,False,True,True
Images/1/Image/Pixelss/0/Pixels/Channels/2/Channel/SamplesPerPixel = 1,False,True,True,True,True
StructuredAnnotations/XMLAnnotations/12/XMLAnnotation/Value/OriginalMetadata/Value = no,True,False,False,False,False
Images/3/Image/Pixelss/0/Pixels/PhysicalSizeY = 0.09922878199885109,False,False,False,False,True
Images/1/Image/Pixelss/0/Pixels/Channels/1/Channel/SamplesPerPixel = 1,False,True,True,True,True
Images/3/Image/Pixelss/0/Pixels/Interleaved = false,False,False,False,False,True
Images/3/Image/Pixelss/0/Pixels/PhysicalSizeX = 0.09922878199885109,False,False,False,False,True
Images/2/Image/Pixelss/0/Pixels/Channels/1/Channel/SamplesPerPixel = 1,False,False,False,True,True
